nExp, Time,  AVy,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y 
   0,    0,    0,   11,   63,    1,   25,   10,   48,   11,   57,    1,   43
   0,    1,    0,   11,   63,    0,   25,   10,   49,   11,   58,    1,   43
   0,    2,    6,   11,   63,    0,   25,   10,   50,   11,   58,    2,   43
   0,    3,   12,   10,   63,    0,   24,    9,   50,   11,   58,    2,   43
   0,    4,   18,    9,   63,    0,   24,    9,   51,   11,   58,    1,   43
   0,    5,   24,    9,   62,    1,   24,    9,   52,   11,   58,    2,   43
   0,    6,   30,    9,   61,    0,   24,    9,   52,   11,   59,    2,   44
   0,    7,   36,    9,   61,    0,   23,    8,   52,   11,   60,    2,   44
   0,    8,   42,    9,   61,    0,   22,    8,   53,   10,   60,    2,   44
   0,    9,   48,    9,   60,    1,   22,    7,   53,   10,   60,    1,   44
   0,   10,   54,    9,   60,    2,   22,    6,   53,    9,   60,    0,   44
   0,   11,   60,    9,   61,    1,   22,    6,   54,    9,   59,    0,   43
