nExp, Time,  AVy,  A0x,  A0y,  A1x,  A1y 
   0,    0,    0,   11,   63,    1,   25
   0,    1,    0,    1,   24
   0,    2,    6,    1,   23
   0,    3,   12,    1,   22
   0,    4,   18,    1,   21
   0,    5,   24,    1,   20
   0,    6,   30,    1,   19
   0,    7,   36,    1,   18
   0,    8,   42,    1,   17
   0,    9,   48,    1,   16
   0,   10,   54,    1,   15
   0,   11,   60,    1,   14
   0,    1,    0,   10,   48,   11,   57
   1,    1,    5,   11,   56
   1,    2,   11,   11,   55
   1,    3,   17,   11,   54
   1,    4,   23,   11,   53
   1,    5,   29,   10,   53
   1,    6,   35,    9,   53
   1,    7,   41,    8,   53
   1,    8,   47,    7,   53
   1,    9,   53,    6,   53
   1,   10,   59,    5,   53
   0,    2,    0,    1,   43,   11,   60
   2,    1,    0,   11,   59
   2,    2,    6,   10,   59
   2,    3,   12,    9,   59
   2,    4,   18,    8,   59
   2,    5,   24,    7,   59
   2,    6,   30,    6,   59
   2,    7,   36,    5,   59
   2,    8,   42,    4,   59
   2,    9,   48,    3,   59
   2,   10,   54,    2,   59
   0,    3,    0,    1,   52,   10,   43
   3,    1,    1,   10,   42
   3,    2,    7,   10,   41
   3,    3,   13,    9,   41
   3,    4,   19,    8,   41
   3,    5,   25,    7,   41
   3,    6,   31,    6,   41
   3,    7,   37,    5,   41
   0,    4,    0,   11,   65,   11,   64
   4,    1,    2,   11,   63
   4,    2,    8,   11,   62
   4,    3,   14,   11,   61
   4,    4,   20,   11,   60
   4,    5,   26,   11,   59
   4,    6,   32,   11,   58
   4,    7,   38,   11,   57
   4,    8,   44,   11,   56
   4,    9,   50,   11,   55
   4,   10,   56,   11,   54
   4,   11,   62,   11,   53
   0,    5,    0,    1,   51,   11,   62
   5,    1,    5,   11,   61
   5,    2,   11,   11,   60
   5,    3,   17,   11,   59
   5,    4,   23,   11,   58
   5,    5,   29,   11,   57
   5,    6,   35,   11,   56
   5,    7,   41,   11,   55
   5,    8,   47,   11,   54
   5,    9,   53,   11,   53
   5,   10,   59,   11,   52
   0,    6,    0,    1,   17,    1,   44
   6,    1,    0,    1,   43
   6,    2,    6,    1,   42
   6,    3,   12,    1,   41
   0,    7,    0,   11,   65,    1,   58
   7,    1,    3,    1,   57
   7,    2,    9,    2,   57
   7,    3,   15,    3,   57
   7,    4,   21,    4,   57
   7,    5,   27,    5,   57
   7,    6,   33,    6,   57
   7,    7,   39,    7,   57
   7,    8,   45,    8,   57
   7,    9,   51,    9,   57
   7,   10,   57,   10,   57
   0,    8,    0,    1,   55,   10,   36
   8,    1,    1,   10,   35
